id,family
954,D1A
955,Q1AB
956,D2A
957,DSEXT
958,S2A
958,SQUAD
959,HSTR
960,VSTR
961,DSEXT
962,D3A
963,Q2AB
964,D4Aa
965,BPM
966,D4Ab
967,BB
968,D6B
969,DSEXT
970,S2C
971,HSTR
972,VSTR
973,DSEXT
974,D5B
975,Q3B
976,D4Ba
977,BPM
978,D4Bb
979,Q2B
980,D3B
981,DSEXT
982,S1C
982,SQUAD
983,HSTR
984,VSTR
985,DSEXT
986,D2B
987,Q1B
988,D10_1
989,BPM
990,D10_2
991,DRIFT
992,HCHICA
993,DRIFT
994,D10_3
995,DRIFT
996,HCHICA
997,DRIFT
998,D10_4
999,DRIFT
1000,HTRIM
1001,VTRIM
1002,DRIFT
1003,D10_5
1004,source
1005,D10_5
1006,DRIFT
1007,HTRIM
1008,VTRIM
1009,DRIFT
1010,D10_6
1011,BPM10
1012,D10_7
1013,DRIFT
1014,HCHICA
1015,DRIFT
1016,D10_7
1017,BPM10
1018,D10_6
1019,DRIFT
1020,HTRIM
1021,VTRIM
1022,DRIFT
1023,D10_5
1024,source
1025,D10_5
1026,DRIFT
1027,HTRIM
1028,VTRIM
1029,DRIFT
1030,D10_4
1031,DRIFT
1032,HCHICA
1033,DRIFT
1034,D10_3
1035,DRIFT
1036,HCHICA
1037,DRIFT
1038,D10_8
1039,BPM
1040,D10_9
1041,Q1B
1042,D2B
1043,DSEXT
1044,S1B
1044,SQUAD
1045,HSTR
1046,VSTR
1047,DSEXT
1048,D3B
1049,Q2B
1050,D4B
1051,Q3B
1052,D5B
1053,DSEXT
1054,S2B
1055,HSTR
1056,VSTR
1057,DSEXT
1058,D6Ba
1059,BPM
1060,D6Bb
1061,BB
1062,D4A
1063,Q2AB
1064,D3Aa
1065,BPM
1066,D3Ab
1067,DSEXT
1068,S2A
1068,SQUAD
1069,HSTR
1070,VSTR
1071,DSEXT
1072,D2A
1073,Q1AB
1074,D1Aa
1075,BPM
1076,D1Ab
1077,DSEXT
1078,S1A
1079,HSTR
1080,VSTR
1081,DSEXT
1082,D1A
1083,Q1AB
1084,D2A
1085,DSEXT
1086,S2A
1086,SQUAD
1087,HSTR
1088,VSTR
1089,DSEXT
1090,D3A
1091,Q2AB
1092,D4Aa
1093,BPM
1094,D4Ab
1095,BB
1096,D6B
1097,DSEXT
1098,S2B
1099,HSTR
1100,VSTR
1101,DSEXT
1102,D5B
1103,Q3B
1104,D4Ba
1105,BPM
1106,D4Bb
1107,Q2B
1108,D3B
1109,DSEXT
1110,S1B
1110,SQUAD
1111,HSTR
1112,VSTR
1113,DSEXT
1114,D2B
1115,Q1B
1116,KD1
1117,BPM
1118,DBPM
1119,DRIFT
1120,HTRIM
1121,VTRIM
1122,DRIFT
1123,DRIFT
1124,source
1125,DRIFT
1126,DRIFT
1127,HTRIM
1128,VTRIM
1129,DRIFT
1130,DBPM
1131,BPM
1132,KD1
1133,Q1B
1134,D2B
1135,DSEXT
1136,S1B
1136,SQUAD
1137,HSTR
1138,VSTR
1139,DSEXT
1140,D3B
1141,Q2B
1142,D4B
1143,Q3B
1144,D5B
1145,DSEXT
1146,S2B
1147,HSTR
1148,VSTR
1149,DSEXT
1150,D6Ba
1151,BPM
1152,D6Bb
1153,BB
1154,D4A
1155,Q2AB
1156,D3Aa
1157,BPM
1158,D3Ab
1159,DSEXT
1160,S2A
1160,SQUAD
1161,HSTR
1162,VSTR
1163,DSEXT
1164,D2A
1165,Q1AB
1166,D1Aa
1167,BPM
1168,D1Ab
1169,DSEXT
1170,S1A
1171,HSTR
1172,VSTR
1173,DSEXT
1174,D1A
1175,Q1AB
1176,D2A
1177,DSEXT
1178,S2A
1178,SQUAD
1179,HSTR
1180,VSTR
1181,DSEXT
1182,D3A
1183,Q2AB
1184,D4Aa
1185,BPM
1186,D4Ab
1187,BB
1188,D6B
1189,DSEXT
1190,S2B
1191,HSTR
1192,VSTR
1193,DSEXT
1194,D5B
1195,Q3B
1196,D4Ba
1197,BPM
1198,D4Bb
1199,Q2B
1200,D3B
1201,DSEXT
1202,S1B
1202,SQUAD
1203,HSTR
1204,VSTR
1205,DSEXT
1206,D2B
1207,Q1B
1208,KD1
1209,BPM
1210,DBPM
1211,DRIFT
1212,DRIFT
1213,HTRIM
1214,VTRIM
1215,DRIFT
1216,MPW12
1217,DRIFT
1218,HTRIM
1219,VTRIM
1220,DRIFT
1221,DRIFT
1222,DBPM
1223,BPM
1224,KD1
1225,Q1B
1226,D2B
1227,DSEXT
1228,S1C
1228,SQUAD
1229,HSTR
1230,VSTR
1231,DSEXT
1232,D3B
1233,Q2B
1234,D4B
1235,Q3B
1236,D5B
1237,DSEXT
1238,S2C
1239,HSTR
1240,VSTR
1241,DSEXT
1242,D6Ba
1243,BPM
1244,D6Bb
1245,BB
1246,D4A
1247,Q2AB
1248,D3Aa
1249,BPM
1250,D3Ab
1251,DSEXT
1252,S2A
1252,SQUAD
1253,HSTR
1254,VSTR
1255,DSEXT
1256,D2A
1257,Q1AB
1258,D1Aa
1259,BPM
1260,D1Ab
1261,DSEXT
1262,S1A
1263,HSTR
1264,VSTR
1265,DSEXT
1266,D1A
1267,Q1AD
1268,D2A
1269,DSEXT
1270,S2A
1270,SQUAD
1271,HSTR
1272,VSTR
1273,DSEXT
1274,D3A
1275,Q2AD
1276,D4Aa
1277,BPM
1278,D4Ab
1279,BB
1280,D6B
1281,DSEXT
1282,S2D
1283,HSTR
1284,VSTR
1285,DSEXT
1286,D5B
1287,Q3D
1288,D4Ba
1289,BPM
1290,D4Bb
1291,Q2D
1292,D3B
1293,DSEXT
1294,S1D
1294,SQUAD
1295,HSTR
1296,VSTR
1297,DSEXT
1298,D2B
1299,Q1D
1300,D13_1
1301,QM13
1302,D13_2
1303,DRIFT
1304,HCHICA
1305,DRIFT
1306,D13_3
1307,BPM
1308,DRIFT
1309,HTRIM
1310,VTRIM
1311,DRIFT
1312,DRIFT
1313,source
1314,DRIFT
1315,DRIFT
1316,HTRIM
1317,VTRIM
1318,DRIFT
1319,BPM
1320,D13_5
1321,HSTR
1322,VSTR
1323,D13_6
1324,DRIFT
1325,HCHICA
1326,DRIFT
1327,D13_7
1328,QM13
1329,D13_8
1330,QM13
1331,D13_9
1332,BPM
1333,D13_10
1334,HSTR
1335,VSTR
1336,DRIFT
1337,HTRIM
1338,VTRIM
1339,DRIFT
1340,DRIFT
1341,source
1342,DRIFT
1343,DRIFT
1344,HTRIM
1345,VTRIM
1346,DRIFT
1347,BPM
1348,D13_12
1349,DRIFT
1350,HCHICA
1351,DRIFT
1352,D13_13
1353,QM13
1354,D13_14
1355,Q1D
1356,D2B
1357,DSEXT
1358,S1D
1358,SQUAD
1359,HSTR
1360,VSTR
1361,DSEXT
1362,D3B
1363,Q2D
1364,D4B
1365,Q3D
1366,D5B
1367,DSEXT
1368,S2D
1369,HSTR
1370,VSTR
1371,DSEXT
1372,D6Ba
1373,BPM
1374,D6Bb
1375,BB
1376,D4A
1377,Q2AD
1378,D3Aa
1379,BPM
1380,D3Ab
1381,DSEXT
1382,S2A
1382,SQUAD
1383,HSTR
1384,VSTR
1385,DSEXT
1386,D2A
1387,Q1AD
1388,D1Aa
1389,BPM
1390,D1Ab
1391,DSEXT
1392,S1A
1393,HSTR
1394,VSTR
1395,DSEXT
1396,D1A
1397,Q1AB
1398,D2A
1399,DSEXT
1400,S2A
1400,SQUAD
1401,HSTR
1402,VSTR
1403,DSEXT
1404,D3A
1405,Q2AB
1406,D4Aa
1407,BPM
1408,D4Ab
1409,BB
1410,D6B
1411,DSEXT
1412,S2C
1413,HSTR
1414,VSTR
1415,DSEXT
1416,D5B
1417,Q3B
1418,D4Ba
1419,BPM
1420,D4Bb
1421,Q2B
1422,D3B
1423,DSEXT
1424,S1C
1424,SQUAD
1425,HSTR
1426,VSTR
1427,DSEXT
1428,D2B
1429,Q1B
1430,KD1
1431,BPM
1432,DBPM
1433,DRIFT
1434,HTRIM
1435,VTRIM
1436,DRIFT
1437,DRIFT
1438,source
1439,DRIFT
1440,DRIFT
1441,HTRIM
1442,VTRIM
1443,DRIFT
1444,DBPM
1445,BPM
1446,KD1
1447,Q1B
1448,D2B
1449,DSEXT
1450,S1B
1450,SQUAD
1451,HSTR
1452,VSTR
1453,DSEXT
1454,D3B
1455,Q2B
1456,D4B
1457,Q3B
1458,D5B
1459,DSEXT
1460,S2B
1461,HSTR
1462,VSTR
1463,DSEXT
1464,D6Ba
1465,BPM
1466,D6Bb
