id,name,type,length
686,686,DRIFT,0.439000
687,687,DRIFT,0.002500
688,688,BPM,0.000000
689,689,DRIFT,1.288300
690,690,QUAD,0.406400
691,691,DRIFT,0.146800
692,692,DRIFT,0.005000
693,693,SEXT,0.290000
694,694,HSTR,0.000000
695,695,VSTR,0.000000
696,696,DRIFT,0.005000
697,697,DRIFT,0.231850
698,698,QUAD,0.606300
699,699,DRIFT,0.458350
700,700,QUAD,0.307000
701,701,DRIFT,0.196500
702,702,DRIFT,0.005000
703,703,SEXT,0.290000
704,704,HSTR,0.000000
705,705,VSTR,0.000000
706,706,DRIFT,0.005000
707,707,DRIFT,0.185000
708,708,BPM,0.000000
709,709,DRIFT,0.484000
710,710,BEND,0.933000
711,711,DRIFT,0.585800
712,712,QUAD,0.406400
713,713,DRIFT,0.158300
714,714,BPM,0.000000
715,715,DRIFT,0.263500
716,716,DRIFT,0.005000
717,717,SEXT,0.190000
718,718,HSTR,0.000000
719,719,VSTR,0.000000
720,720,DRIFT,0.005000
721,721,DRIFT,0.195200
722,722,QUAD,0.407600
723,723,DRIFT,0.118700
724,724,BPM,0.000000
725,725,DRIFT,0.116000
726,726,DRIFT,0.005000
727,727,SEXT,0.290000
728,728,HSTR,0.000000
729,729,VSTR,0.000000
730,730,DRIFT,0.005000
731,731,DRIFT,0.234700
732,732,QUAD,0.407600
733,733,DRIFT,0.195200
734,734,DRIFT,0.005000
735,735,SEXT,0.190000
736,736,HSTR,0.000000
737,737,VSTR,0.000000
738,738,DRIFT,0.005000
739,739,DRIFT,0.421800
740,740,QUAD,0.406400
741,741,DRIFT,0.101800
742,742,BPM,0.000000
743,743,DRIFT,0.484000
744,744,source,0.000000
745,745,BEND,0.933000
746,746,DRIFT,0.669000
747,747,DRIFT,0.005000
748,748,SEXT,0.290000
749,749,HSTR,0.000000
750,750,VSTR,0.000000
751,751,DRIFT,0.005000
752,752,DRIFT,0.196500
753,753,QUAD,0.307000
754,754,DRIFT,0.173000
755,755,BPM,0.000000
756,756,DRIFT,0.285350
757,757,QUAD,0.606300
758,758,DRIFT,0.231850
759,759,DRIFT,0.005000
760,760,SEXT,0.290000
761,761,HSTR,0.000000
762,762,VSTR,0.000000
763,763,DRIFT,0.005000
764,764,DRIFT,0.146800
765,765,QUAD,0.406400
766,766,DRIFT,1.288300
767,767,BPM,0.000000
768,768,DRIFT,0.002500
769,769,DRIFT,0.150000
770,770,HTRIM,0.000000
771,771,VTRIM,0.000000
772,772,DRIFT,0.150000
773,773,DRIFT,2.577500
774,774,source,0.000000
775,775,DRIFT,2.577500
776,776,DRIFT,0.150000
777,777,HTRIM,0.000000
778,778,VTRIM,0.000000
779,779,DRIFT,0.150000
780,780,DRIFT,0.002500
781,781,BPM,0.000000
782,782,DRIFT,1.288300
783,783,QUAD,0.406400
784,784,DRIFT,0.146800
785,785,DRIFT,0.005000
786,786,SEXT,0.290000
787,787,HSTR,0.000000
788,788,VSTR,0.000000
789,789,DRIFT,0.005000
790,790,DRIFT,0.231850
791,791,QUAD,0.606300
792,792,DRIFT,0.458350
793,793,QUAD,0.307000
794,794,DRIFT,0.196500
795,795,DRIFT,0.005000
796,796,SEXT,0.290000
797,797,HSTR,0.000000
798,798,VSTR,0.000000
799,799,DRIFT,0.005000
800,800,DRIFT,0.185000
801,801,BPM,0.000000
802,802,DRIFT,0.484000
803,803,BEND,0.933000
804,804,DRIFT,0.585800
805,805,QUAD,0.406400
806,806,DRIFT,0.158300
807,807,BPM,0.000000
808,808,DRIFT,0.263500
809,809,DRIFT,0.005000
810,810,SEXT,0.190000
811,811,HSTR,0.000000
812,812,VSTR,0.000000
813,813,DRIFT,0.005000
814,814,DRIFT,0.195200
815,815,QUAD,0.407600
816,816,DRIFT,0.118700
817,817,BPM,0.000000
818,818,DRIFT,0.116000
819,819,DRIFT,0.005000
820,820,SEXT,0.290000
821,821,HSTR,0.000000
822,822,VSTR,0.000000
823,823,DRIFT,0.005000
824,824,DRIFT,0.234700
825,825,QUAD,0.407600
826,826,DRIFT,0.195200
827,827,DRIFT,0.005000
828,828,SEXT,0.190000
829,829,HSTR,0.000000
830,830,VSTR,0.000000
831,831,DRIFT,0.005000
832,832,DRIFT,0.421800
833,833,QUAD,0.406400
834,834,DRIFT,0.101800
835,835,BPM,0.000000
836,836,DRIFT,0.484000
837,837,BEND,0.933000
838,838,DRIFT,0.669000
839,839,DRIFT,0.005000
840,840,SEXT,0.290000
841,841,HSTR,0.000000
842,842,VSTR,0.000000
843,843,DRIFT,0.005000
844,844,DRIFT,0.196500
